passenger_id,flight_id
324156987,1001
324156989,1001
324156991,1001
324156993,1001
324156995,1001
324156997,1001
324156999,1001
324157001,1001
324157003,1001
324157005,1001
324157007,1001
324157009,1001
324157011,1001
324157013,1001
324157015,1001
324157017,1001
324157019,1001
324157021,1001
324157023,1001
324157025,1001
324157027,1001
324157029,1001
324157031,1001
324157033,1001
324157035,1001
324157037,1001
324157039,1001
324157041,1001
324157043,1001
324157045,1001
324157047,1001
324157049,1001
324157051,1001
324157053,1001
324157055,1001
324157057,1001
324157059,1001
324157061,1001
324157063,1001
324157065,1001
324157067,1001
324157069,1001
324157071,1001
324157073,1001
324157075,1001
324157077,1001
324157079,1001
324157081,1001
324157083,1001
324157085,1001
324157087,1001
324157089,1001
324157091,1001
324157093,1001
324157095,1001
330000000,1001
330000002,1001
330000003,1001
330000004,1001
330000005,1001
330000006,1001
330000007,1001
330000008,1001
330000009,1001
330000010,1001
